,X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
1421,0.7682899999999999,1.2951,8.3131,2.1682,0.8804799999999999,1.2816,4.6511,2.2172,1,0
1422,0.7700100000000001,1.2952,8.2792,2.1704,0.77757,1.1775,4.5371,2.3073,1,0
1423,0.77289,1.2954,8.2647,2.1748,0.7803399999999999,1.1723,4.8782,2.3821,1,0
1424,0.77353,1.2936,8.283,2.1784,0.79985,1.1676,5.7601,2.3409,1,0
1425,0.77341,1.2915,8.3333,2.1792,0.8016300000000001,1.1581,7.5612,2.3456,1,0
1426,0.7751,1.2931,8.431000000000001,2.1826,0.74543,1.0805,10.222999999999999,2.4166,1,0
1427,0.77759,1.2953,8.5572,2.1865,0.6485,0.97946,13.808,2.5133,1,0
1428,0.77887,1.2965,8.5767,2.1862,0.61388,0.9650700000000001,16.31,2.531,1,0
1429,0.77879,1.2967,8.5465,2.1855,0.55753,0.9368700000000001,17.999000000000002,2.4903,1,0
1430,0.77733,1.2952,8.5456,2.1873,0.53499,0.93063,18.908,2.5069,1,0
1431,0.77331,1.2912,8.5857,2.19,0.48812,0.9056,18.906,2.5047,1,0
1432,0.77191,1.2890000000000001,8.6352,2.1932,0.42782,0.85269,17.869,2.4634,1,0
1433,0.77356,1.2884,8.6279,2.1903,0.40009,0.81311,14.815,2.362,1,0
1434,0.77604,1.2892,8.6058,2.1826,0.41467,0.82934,12.648,2.2409,1,0
1435,0.7794800000000001,1.291,8.5869,2.1784,0.499,0.89269,11.597999999999999,2.1877,1,0
1436,0.78413,1.2939,8.548,2.1764,0.6059399999999999,0.9674799999999999,10.892000000000001,2.1287,1,0
1437,0.78535,1.2962,8.4963,2.1698,0.6807300000000001,1.0583,9.5653,2.0311,1,0
1438,0.78562,1.298,8.4186,2.1647,0.6935399999999999,1.1202,8.1123,1.9159,1,0
1439,0.78713,1.2985,8.2673,2.1641,0.66406,1.1096,7.537999999999999,1.9273,1,0
1440,0.7969,1.3143,8.1501,2.1665,0.79572,1.3732,7.0947,2.008,1,0
1441,0.8133199999999999,1.3428,8.0613,2.1664,1.0282,1.8788,5.9974,2.0245,1,0
1442,0.81755,1.3459999999999999,7.9684,2.1651,0.9845799999999999,1.8826,5.0081,2.0365,1,0
1443,0.8198799999999999,1.347,7.9153,2.1601,0.96652,1.8367,4.8183,2.019,1,0
1444,0.83147,1.3591,7.9158,2.1576,1.1942,2.0442,5.1418,2.055,1,0
1445,0.84877,1.3761,7.9211,2.1549,1.5248,2.3924,5.7723,2.0148,1,0
1446,0.85411,1.3799,7.9052,2.1529,1.4435,2.1551,6.3847,1.9362,1,0
1447,0.85625,1.3798,7.8575,2.1507,1.1705,1.59,7.0014,1.8683,1,0
1448,0.8553700000000001,1.3796,7.837999999999999,2.1503,1.1116,1.5289,7.5036,1.868,1,0
1449,0.85235,1.3803,7.8318,2.1539,1.0613,1.5286,7.6685,1.9742,1,0
1450,0.85301,1.3833,7.8132,2.1572,0.85264,1.3262,7.2805,2.0238,1,0
1451,0.85465,1.3848,7.7968,2.1565,0.56298,1.0113,6.6528,2.0672,1,0
1452,0.8539399999999999,1.3796,7.795,2.1529,0.53499,0.97019,6.1193,2.0739,1,0
1453,0.8523200000000001,1.3731,7.8039,2.1533,0.5502,0.99487,5.7874,2.1259,1,0
1454,0.85262,1.3730000000000002,7.8142,2.1571,0.58106,1.0096,5.5120000000000005,2.144,1,0
1455,0.85193,1.3719,7.8229,2.1586,0.61449,1.0014,5.5092,2.0719,1,0
1456,0.8518100000000001,1.3722,7.8199,2.1608,0.62198,0.98088,6.0854,2.0818,1,0
1457,0.85308,1.3742,7.8119,2.1628,0.62641,0.98625,6.792000000000001,2.0863,1,0
1458,0.85462,1.376,7.8326,2.168,0.59007,0.97483,7.5635,2.1512,1,0
1459,0.8542200000000001,1.3758,7.8669,2.1719,0.52628,0.9354,8.2575,2.2034,1,0
1460,0.8453799999999999,1.365,7.9067,2.1705,0.47653,0.92348,8.7151,2.2126,1,0
1461,0.8332700000000001,1.3463,7.9181,2.1682,0.49801000000000006,0.9820399999999999,8.5125,2.2552,1,0
1462,0.8335899999999999,1.3459999999999999,7.9122,2.1689,0.58253,1.0834,7.7862,2.2329,1,0
1463,0.8343700000000001,1.3464,7.9113,2.1739,0.62752,1.1299,7.2045,2.2514,1,0
1464,0.83465,1.3474,7.9093,2.1798,0.65258,1.1786,6.6236,2.2859,1,0
1465,0.83316,1.3463,7.8835,2.1813,0.69508,1.2183,6.1086,2.2541,1,0
1466,0.83316,1.3479,7.8703,2.1839,0.7621899999999999,1.2517,5.9622,2.2369,1,0
1467,0.83178,1.3493,7.9201,2.1881,0.7470899999999999,1.2064,7.0202,2.2869,1,0
1468,0.82965,1.3492,8.0239,2.1924,0.65359,1.1064,9.1866,2.3346,1,0
1469,0.8259799999999999,1.3449,8.1043,2.1952,0.5665399999999999,1.001,10.827,2.319,1,0
1470,0.82381,1.3388,8.1295,2.1952,0.5457,0.93499,11.382,2.2783,1,0
1471,0.79823,1.2866,8.1676,2.1965,0.5253399999999999,0.88555,11.913,2.2877,1,0
1472,0.77387,1.2427,8.2198,2.1997,0.48367,0.84951,12.312999999999999,2.2895,1,0
1473,0.76594,1.2375,8.246,2.2052,0.47512,0.885,11.602,2.2634,1,0
1474,0.7642100000000001,1.2356,8.2409,2.2086,0.51722,0.9083600000000001,9.4802,2.2123,1,0
1475,0.76265,1.2326,8.2151,2.2108,0.53805,0.9434100000000001,7.8402,2.2463,1,0
1476,0.76136,1.2306,8.1861,2.2134,0.51857,0.9504100000000001,7.3353,2.2838,1,0
1477,0.75797,1.227,8.1577,2.217,0.51375,0.9687600000000001,6.981,2.3423,1,0
1478,0.75356,1.2234,8.1318,2.2219,0.51751,0.97909,7.0520000000000005,2.4224,1,0
1479,0.75269,1.2237,8.1392,2.2283,0.49673999999999996,0.91569,7.9641,2.4757,1,0
1480,0.7508699999999999,1.2213,8.1568,2.2349,0.41538,0.82616,9.3759,2.5859,1,0
1481,0.74737,1.2181,8.1688,2.238,0.37464000000000003,0.78835,10.892999999999999,2.6576,1,0
1482,0.74666,1.2182,8.19,2.2369,0.36313,0.78857,12.145999999999999,2.6562,1,0
1483,0.74416,1.2171,8.2171,2.2344,0.35691,0.80123,12.679,2.574,1,0
1484,0.74102,1.2146,8.2516,2.2353,0.33027,0.75738,12.815,2.4989,1,0
1485,0.73852,1.2128,8.2526,2.2359,0.35536,0.76653,12.174000000000001,2.4257,1,0
1486,0.73905,1.2148,8.2079,2.2357,0.44048999999999994,0.8656,11.011,2.3478,1,0
1487,0.7330899999999999,1.2078,8.1529,2.2394,0.5426300000000001,0.96911,9.3922,2.286,1,0
1488,0.73453,1.2104,8.1659,2.2403,0.61161,1.0394,9.3826,2.3162,1,0
